LARGE DATASET AUDIT DUMP | ACCOUNT: 50200012345678 | BILL NO: INV-2026-0098
TRANSACTION ENTRY #0001 | REF: TXN-00000013 | AMOUNT: Rs. 100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0002 | REF: TXN-00000026 | AMOUNT: Rs. 200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0003 | REF: TXN-00000039 | AMOUNT: Rs. 300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0004 | REF: TXN-00000052 | AMOUNT: Rs. 400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0005 | REF: TXN-00000065 | AMOUNT: Rs. 500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0006 | REF: TXN-00000078 | AMOUNT: Rs. 600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0007 | REF: TXN-00000091 | AMOUNT: Rs. 700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0008 | REF: TXN-00000104 | AMOUNT: Rs. 800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0009 | REF: TXN-00000117 | AMOUNT: Rs. 900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0010 | REF: TXN-00000130 | AMOUNT: Rs. 1000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0011 | REF: TXN-00000143 | AMOUNT: Rs. 1100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0012 | REF: TXN-00000156 | AMOUNT: Rs. 1200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0013 | REF: TXN-00000169 | AMOUNT: Rs. 1300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0014 | REF: TXN-00000182 | AMOUNT: Rs. 1400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0015 | REF: TXN-00000195 | AMOUNT: Rs. 1500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0016 | REF: TXN-00000208 | AMOUNT: Rs. 1600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0017 | REF: TXN-00000221 | AMOUNT: Rs. 1700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0018 | REF: TXN-00000234 | AMOUNT: Rs. 1800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0019 | REF: TXN-00000247 | AMOUNT: Rs. 1900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0020 | REF: TXN-00000260 | AMOUNT: Rs. 2000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0021 | REF: TXN-00000273 | AMOUNT: Rs. 2100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0022 | REF: TXN-00000286 | AMOUNT: Rs. 2200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0023 | REF: TXN-00000299 | AMOUNT: Rs. 2300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0024 | REF: TXN-00000312 | AMOUNT: Rs. 2400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0025 | REF: TXN-00000325 | AMOUNT: Rs. 2500.00 | STATUS: CLEARED
